Entity,Code,Date,TotalCovidDeaths,ConfirmedCovidCases
World,OWID_WRL,31-Dec-19,0,27
World,OWID_WRL,1-Jan-20,0,27
World,OWID_WRL,2-Jan-20,0,27
World,OWID_WRL,3-Jan-20,0,44
World,OWID_WRL,4-Jan-20,0,44
World,OWID_WRL,5-Jan-20,0,59
World,OWID_WRL,6-Jan-20,0,59
World,OWID_WRL,7-Jan-20,0,59
World,OWID_WRL,8-Jan-20,0,59
World,OWID_WRL,9-Jan-20,0,59
World,OWID_WRL,10-Jan-20,0,59
World,OWID_WRL,11-Jan-20,1,59
World,OWID_WRL,12-Jan-20,1,59
World,OWID_WRL,13-Jan-20,1,60
World,OWID_WRL,14-Jan-20,1,60
World,OWID_WRL,15-Jan-20,2,61
World,OWID_WRL,16-Jan-20,2,61
World,OWID_WRL,17-Jan-20,2,66
World,OWID_WRL,18-Jan-20,2,83
World,OWID_WRL,19-Jan-20,3,219
World,OWID_WRL,20-Jan-20,3,239
World,OWID_WRL,21-Jan-20,6,392
World,OWID_WRL,22-Jan-20,17,534
World,OWID_WRL,23-Jan-20,17,631
World,OWID_WRL,24-Jan-20,26,897
World,OWID_WRL,25-Jan-20,41,1350
World,OWID_WRL,26-Jan-20,56,2023
World,OWID_WRL,27-Jan-20,81,2820
World,OWID_WRL,28-Jan-20,106,4587
World,OWID_WRL,29-Jan-20,132,6067
World,OWID_WRL,30-Jan-20,170,7823
World,OWID_WRL,31-Jan-20,213,9826
World,OWID_WRL,1-Feb-20,259,11946
World,OWID_WRL,2-Feb-20,305,14554
World,OWID_WRL,3-Feb-20,362,17372
World,OWID_WRL,4-Feb-20,427,20615
World,OWID_WRL,5-Feb-20,493,24522
World,OWID_WRL,6-Feb-20,565,28273
World,OWID_WRL,7-Feb-20,638,31491
World,OWID_WRL,8-Feb-20,724,34933
World,OWID_WRL,9-Feb-20,813,37552
World,OWID_WRL,10-Feb-20,910,40540
World,OWID_WRL,11-Feb-20,1018,43105
World,OWID_WRL,12-Feb-20,1115,45177
World,OWID_WRL,13-Feb-20,1370,60328
World,OWID_WRL,14-Feb-20,1383,64543
World,OWID_WRL,15-Feb-20,1527,67103
World,OWID_WRL,16-Feb-20,1669,69265
World,OWID_WRL,17-Feb-20,1775,71332
World,OWID_WRL,18-Feb-20,1873,73327
World,OWID_WRL,19-Feb-20,2012,75191
World,OWID_WRL,20-Feb-20,2128,75723
World,OWID_WRL,21-Feb-20,2247,76719
World,OWID_WRL,22-Feb-20,2359,77804
World,OWID_WRL,23-Feb-20,2463,78812
World,OWID_WRL,24-Feb-20,2619,79339
World,OWID_WRL,25-Feb-20,2698,80132
World,OWID_WRL,26-Feb-20,2762,80995
World,OWID_WRL,27-Feb-20,2800,82101
World,OWID_WRL,28-Feb-20,2857,83365
World,OWID_WRL,29-Feb-20,2921,85203
World,OWID_WRL,1-Mar-20,2979,87024
World,OWID_WRL,2-Mar-20,3046,89068
World,OWID_WRL,3-Mar-20,3118,90865
World,OWID_WRL,4-Mar-20,3202,93077
World,OWID_WRL,5-Mar-20,3282,95316
World,OWID_WRL,6-Mar-20,3385,98172
World,OWID_WRL,7-Mar-20,3488,102133
World,OWID_WRL,8-Mar-20,3585,105824
World,OWID_WRL,9-Mar-20,3814,109695
World,OWID_WRL,10-Mar-20,4023,114232
World,OWID_WRL,11-Mar-20,4292,118610
World,OWID_WRL,12-Mar-20,4618,125497
World,OWID_WRL,13-Mar-20,4969,133852
World,OWID_WRL,14-Mar-20,5407,143227
World,OWID_WRL,15-Mar-20,5761,154774
World,OWID_WRL,16-Mar-20,6506,167418
World,OWID_WRL,17-Mar-20,7102,180096
World,OWID_WRL,18-Mar-20,7891,194836
World,OWID_WRL,19-Mar-20,8842,213150
World,OWID_WRL,20-Mar-20,9883,242364
World,OWID_WRL,21-Mar-20,11249,271106
World,OWID_WRL,22-Mar-20,12944,305188
World,OWID_WRL,23-Mar-20,14601,338133
World,OWID_WRL,24-Mar-20,16363,377918
World,OWID_WRL,25-Mar-20,18563,416845
World,OWID_WRL,26-Mar-20,20989,468049
World,OWID_WRL,27-Mar-20,23670,527767
World,OWID_WRL,28-Mar-20,26988,591690
World,OWID_WRL,29-Mar-20,30449,656868
World,OWID_WRL,30-Mar-20,33574,715358
World,OWID_WRL,31-Mar-20,37272,777133
World,OWID_WRL,1-Apr-20,41889,851341
World,OWID_WRL,2-Apr-20,46884,928490
World,OWID_WRL,3-Apr-20,51572,1005937
World,OWID_WRL,4-Apr-20,58158,1087651
World,OWID_WRL,5-Apr-20,64273,1174364
World,OWID_WRL,6-Apr-20,68928,1245596
World,OWID_WRL,7-Apr-20,74065,1316986
World,OWID_WRL,8-Apr-20,81477,1391888
World,OWID_WRL,9-Apr-20,87816,1476818
World,OWID_WRL,10-Apr-20,95039,1563857
World,OWID_WRL,11-Apr-20,102088,1653206
World,OWID_WRL,12-Apr-20,108192,1734913
World,OWID_WRL,13-Apr-20,113513,1807308
